iterative,48,100,0.000942
hillis-steele,8,100,0.000332
hillis-steele,16,100,0.000390
hillis-steele,32,100,0.000768
hillis-steele,48,100,0.000996
sequential reference,1,1000000,0.014491
recursive,8,1000000,0.005123
recursive,16,1000000,0.003449
recursive,32,1000000,0.002820
recursive,48,1000000,0.003042
iterative,8,1000000,0.003489
iterative,16,1000000,0.002097
iterative,32,1000000,0.002237
iterative,48,1000000,0.002482
hillis-steele,8,1000000,0.029418
hillis-steele,16,1000000,0.016669
hillis-steele,32,1000000,0.011780
hillis-steele,48,1000000,0.012309
sequential reference,1,100000000,1.439015
recursive,8,100000000,0.444706
recursive,16,100000000,0.292469
recursive,32,100000000,0.250512
recursive,48,100000000,0.241260
iterative,8,100000000,1.023807
iterative,16,100000000,1.012722
iterative,32,100000000,1.020269
iterative,48,100000000,1.056775
hillis-steele,8,100000000,3.932039
hillis-steele,16,100000000,2.455115
hillis-steele,32,100000000,2.653917
hillis-steele,48,100000000,2.581312
sequential reference,1,10,0.000003
recursive,8,10,0.000285
recursive,16,10,0.000306
recursive,32,10,0.000619
recursive,48,10,0.000781
iterative,8,10,0.000310
iterative,16,10,0.000315
iterative,32,10,0.000658
iterative,48,10,0.000825
hillis-steele,8,10,0.000282
hillis-steele,16,10,0.000292
hillis-steele,32,10,0.000626
hillis-steele,48,10,0.000831
sequential reference,1,100,0.000004
recursive,8,100,0.000312
recursive,16,100,0.000327
recursive,32,100,0.000688
recursive,48,100,0.000927
iterative,8,100,0.000328
iterative,16,100,0.000384
iterative,32,100,0.000726
iterative,48,100,0.000936
hillis-steele,8,100,0.000305
hillis-steele,16,100,0.000349
hillis-steele,32,100,0.000759
hillis-steele,48,100,0.001003
sequential reference,1,1000000,0.014187
recursive,8,1000000,0.005208
recursive,16,1000000,0.003480
recursive,32,1000000,0.002850
recursive,48,1000000,0.003050
iterative,8,1000000,0.003490
iterative,16,1000000,0.002200
iterative,32,1000000,0.002261
iterative,48,1000000,0.002550
hillis-steele,8,1000000,0.028999
hillis-steele,16,1000000,0.016531
hillis-steele,32,1000000,0.011802
hillis-steele,48,1000000,0.011989
sequential reference,1,100000000,1.434829
recursive,8,100000000,0.444489
recursive,16,100000000,0.293055
recursive,32,100000000,0.252539
recursive,48,100000000,0.270905
iterative,8,100000000,1.024287
iterative,16,100000000,1.012878
iterative,32,100000000,1.019477
iterative,48,100000000,1.042143
hillis-steele,8,100000000,3.957448
hillis-steele,16,100000000,2.444099
hillis-steele,32,100000000,2.500099
hillis-steele,48,100000000,2.558400
sequential reference,1,10,0.000003
recursive,8,10,0.000272
recursive,16,10,0.000317
recursive,32,10,0.000706
recursive,48,10,0.000899
iterative,8,10,0.000277
iterative,16,10,0.000324
iterative,32,10,0.000636
iterative,48,10,0.000819
hillis-steele,8,10,0.000313
hillis-steele,16,10,0.000331
hillis-steele,32,10,0.000657
hillis-steele,48,10,0.000826
sequential reference,1,100,0.000004
recursive,8,100,0.000364
recursive,16,100,0.000379
recursive,32,100,0.000754
recursive,48,100,0.000913
iterative,8,100,0.000303
iterative,16,100,0.000378
iterative,32,100,0.000805
iterative,48,100,0.000952
hillis-steele,8,100,0.000302
hillis-steele,16,100,0.000375
hillis-steele,32,100,0.000762
hillis-steele,48,100,0.001055
sequential reference,1,1000000,0.014208
recursive,8,1000000,0.005259
recursive,16,1000000,0.003569
recursive,32,1000000,0.002857
recursive,48,1000000,0.003039
iterative,8,1000000,0.003485
iterative,16,1000000,0.002177
iterative,32,1000000,0.002165
iterative,48,1000000,0.002492
hillis-steele,8,1000000,0.028957
hillis-steele,16,1000000,0.016604
hillis-steele,32,1000000,0.011879
hillis-steele,48,1000000,0.026043
sequential reference,1,100000000,1.384977
recursive,8,100000000,0.447373
recursive,16,100000000,0.293509
recursive,32,100000000,0.251686
recursive,48,100000000,0.278518
iterative,8,100000000,1.026746
iterative,16,100000000,1.017393
iterative,32,100000000,1.022428
iterative,48,100000000,1.032714
hillis-steele,8,100000000,3.957992
hillis-steele,16,100000000,2.460616
hillis-steele,32,100000000,2.518286
hillis-steele,48,100000000,2.544253
sequential reference,1,10,0.000002
recursive,8,10,0.000275
recursive,16,10,0.000296
recursive,32,10,0.000606
recursive,48,10,0.000860
iterative,8,10,0.000301
iterative,16,10,0.000320
iterative,32,10,0.000684
iterative,48,10,0.000815
hillis-steele,8,10,0.000282
hillis-steele,16,10,0.000308
hillis-steele,32,10,0.000666
hillis-steele,48,10,0.000854
sequential reference,1,100,0.000004
recursive,8,100,0.000309
recursive,16,100,0.000345
recursive,32,100,0.000713
recursive,48,100,0.000974
iterative,8,100,0.000332
iterative,16,100,0.000378
iterative,32,100,0.000738
iterative,48,100,0.000957
hillis-steele,8,100,0.000362
hillis-steele,16,100,0.000399
hillis-steele,32,100,0.000812
hillis-steele,48,100,0.000987
sequential reference,1,1000000,0.014262
recursive,8,1000000,0.005181
recursive,16,1000000,0.003465
recursive,32,1000000,0.002835
recursive,48,1000000,0.003093
iterative,8,1000000,0.003538
iterative,16,1000000,0.002183
iterative,32,1000000,0.002266
iterative,48,1000000,0.002542
hillis-steele,8,1000000,0.029085
hillis-steele,16,1000000,0.016635
hillis-steele,32,1000000,0.011743
hillis-steele,48,1000000,0.012337
sequential reference,1,100000000,1.435731
recursive,8,100000000,0.450535
recursive,16,100000000,0.296533
recursive,32,100000000,0.253112
recursive,48,100000000,0.249237
iterative,8,100000000,1.029170
iterative,16,100000000,1.022476
iterative,32,100000000,1.034724
iterative,48,100000000,1.056952
hillis-steele,8,100000000,3.950168
hillis-steele,16,100000000,2.432823
hillis-steele,32,100000000,2.464948
hillis-steele,48,100000000,2.460126
sequential reference,1,10,0.000003
recursive,8,10,0.000278
recursive,16,10,0.000303
recursive,32,10,0.000652
recursive,48,10,0.001127
iterative,8,10,0.000283
iterative,16,10,0.000292
iterative,32,10,0.000627
iterative,48,10,0.000791
hillis-steele,8,10,0.000315
hillis-steele,16,10,0.000327
hillis-steele,32,10,0.000670
hillis-steele,48,10,0.000842
sequential reference,1,100,0.000005
recursive,8,100,0.000329
recursive,16,100,0.000356
recursive,32,100,0.000809
recursive,48,100,0.000905
iterative,8,100,0.000297
iterative,16,100,0.000338
iterative,32,100,0.000748
iterative,48,100,0.000975
hillis-steele,8,100,0.000338
hillis-steele,16,100,0.000367
hillis-steele,32,100,0.000747
hillis-steele,48,100,0.000977
sequential reference,1,1000000,0.014245
recursive,8,1000000,0.005178
recursive,16,1000000,0.003380
recursive,32,1000000,0.002795
recursive,48,1000000,0.003108
iterative,8,1000000,0.003584
iterative,16,1000000,0.002113
iterative,32,1000000,0.002351
iterative,48,1000000,0.002579
hillis-steele,8,1000000,0.029453
hillis-steele,16,1000000,0.016902
hillis-steele,32,1000000,0.011910
hillis-steele,48,1000000,0.012323
sequential reference,1,100000000,1.404820
recursive,8,100000000,0.444298
recursive,16,100000000,0.293099
recursive,32,100000000,0.251762
recursive,48,100000000,0.244058
iterative,8,100000000,1.028159
iterative,16,100000000,1.020589
iterative,32,100000000,1.023851
iterative,48,100000000,1.044508
hillis-steele,8,100000000,3.954080
hillis-steele,16,100000000,2.459051
hillis-steele,32,100000000,2.655612
hillis-steele,48,100000000,2.565794
sequential reference,1,10,0.000002
recursive,8,10,0.000274
