parallel algorithm, MPI Exscan,64,10,0.281774
parallel algorithm, hillis-steele,64,10,0.064887
parallel algorithm, MPI Exscan,128,10,0.258640
parallel algorithm, hillis-steele,128,10,0.088904
parallel algorithm, MPI Exscan,256,10,0.199034
parallel algorithm, hillis-steele,256,10,0.150702
parallel algorithm, MPI Exscan,511,10,0.218247
parallel algorithm, hillis-steele,511,10,0.198114
parallel algorithm, MPI Exscan,512,10,0.348277
parallel algorithm, hillis-steele,512,10,0.216617
sequential reference,1,100,0.000004
parallel algorithm, MPI Exscan,8,100,0.043327
parallel algorithm, hillis-steele,8,100,0.038063
parallel algorithm, MPI Exscan,16,100,0.083815
parallel algorithm, hillis-steele,16,100,0.077619
parallel algorithm, MPI Exscan,32,100,0.151997
parallel algorithm, hillis-steele,32,100,0.144214
parallel algorithm, MPI Exscan,64,100,0.323615
parallel algorithm, hillis-steele,64,100,0.292070
parallel algorithm, MPI Exscan,128,100,0.253143
parallel algorithm, hillis-steele,128,100,0.092220
parallel algorithm, MPI Exscan,256,100,0.193504
parallel algorithm, hillis-steele,256,100,0.139900
parallel algorithm, MPI Exscan,511,100,0.221776
parallel algorithm, hillis-steele,511,100,0.195612
parallel algorithm, MPI Exscan,512,100,0.342039
parallel algorithm, hillis-steele,512,100,0.218703
sequential reference,1,1000000,0.011237
parallel algorithm, MPI Exscan,8,1000000,0.048969
parallel algorithm, hillis-steele,8,1000000,0.039659
parallel algorithm, MPI Exscan,16,1000000,0.080484
parallel algorithm, hillis-steele,16,1000000,0.073592
parallel algorithm, MPI Exscan,32,1000000,0.150477
parallel algorithm, hillis-steele,32,1000000,0.144173
parallel algorithm, MPI Exscan,64,1000000,0.317785
parallel algorithm, hillis-steele,64,1000000,0.294288
parallel algorithm, MPI Exscan,128,1000000,0.575189
parallel algorithm, hillis-steele,128,1000000,0.605356
parallel algorithm, MPI Exscan,256,1000000,1.175214
parallel algorithm, hillis-steele,256,1000000,1.203784
parallel algorithm, MPI Exscan,511,1000000,2.247156
parallel algorithm, hillis-steele,511,1000000,2.301202
parallel algorithm, MPI Exscan,512,1000000,2.420978
parallel algorithm, hillis-steele,512,1000000,2.279660
sequential reference,1,100000000,0.988520
parallel algorithm, MPI Exscan,8,100000000,0.480885
parallel algorithm, hillis-steele,8,100000000,0.488499
parallel algorithm, MPI Exscan,16,100000000,0.405787
parallel algorithm, hillis-steele,16,100000000,0.425705
parallel algorithm, MPI Exscan,32,100000000,0.430098
parallel algorithm, hillis-steele,32,100000000,0.436501
parallel algorithm, MPI Exscan,64,100000000,0.580584
parallel algorithm, hillis-steele,64,100000000,0.584503
parallel algorithm, MPI Exscan,128,100000000,0.860682
parallel algorithm, hillis-steele,128,100000000,0.873496
parallel algorithm, MPI Exscan,256,100000000,1.477555
parallel algorithm, hillis-steele,256,100000000,1.509568
parallel algorithm, MPI Exscan,511,100000000,2.305088
parallel algorithm, hillis-steele,511,100000000,2.308654
parallel algorithm, MPI Exscan,512,100000000,2.596400
parallel algorithm, hillis-steele,512,100000000,2.323198
sequential reference,1,111111111,1.087704
parallel algorithm, MPI Exscan,8,111111111,0.536908
parallel algorithm, hillis-steele,8,111111111,0.538578
parallel algorithm, MPI Exscan,16,111111111,0.445212
parallel algorithm, hillis-steele,16,111111111,0.459598
parallel algorithm, MPI Exscan,32,111111111,0.463497
